value
48000000
3000000
2000000
40000
8000000
2000000
9000000
2000000
15000000
4000000
7500
7500
16000000
2000000
8000000
7000000
4000000
1000000
5000000
15000000
9000000
8000000
1000000
4000000
3000000
35000000
25000
30000
2000000
6000000
6500000
5000000
22000000
5000000
60000000
14000000
31000000
12000000
3000000
900
44000000
1200000
8000000
2000000
18000000
4000000
2000000
65000000
3000000
14000000
5000000
20000
2000000
1000000
40000000
1000000
2000000
13000000
72500
11000000
36000000
25000000
6000000
2000000
5000000
1000000
2000000
16000000
2500000
5000000
4000000
12000000
99000000
40000
24000000
9000000
8000000
16000000
3000000
24000000
5000000
3000000
81000000
47500
3000000
72000000
18000000
1100000
2000000
4000000
65000
6000000
13000000
1200000
1000000
5000000
1000000
65000
1000000
1000000
4000000
10000000
22000000
32000000
9000000
6000000
12000000
12000000
3000000
1000000
18000000
20000
2000000
9000000
1000000
4000000
1000000
40000000
1000000
2000000
2000000
11000000
2000000
1000000
4000000
32000000
50000
3000000
2000000
1000000
8000000
8000000
11000000
725
9000000
4000000
80000
4000000
52500
10000000
60000000
1000000
80000
3000000
2200000
80000000
50000
25000
50000000
3000000
11000000
8000000
2000000
6000000
12000000
16000000
95000
1000000
1000000
20000000
2000000
72000000
2000000
16000000
25000000
9000000
7000000
9000000
9000000
9000000
2000000
22000000
25000
80000
9000000
4000000
2500000
64000000
32000000
20000000
2000000
2000000
60000
80000
4000000
12000000
3000000
6000000
40000000
4000000
6000000
24000000
4000000
20000000
20000000
8000000
12000000
29000000
6000000
6000000
1000000
2000000
2000000
1000000
8000000
10000000
32000000
80000
3000000
12000000
80000
49000000
4000000
8000000
80000
5000000
8000000
1000000
25000000
30000
16000000
3000000
12000000
1000000
15000000
10000000
4000000
65000
8000000
45000
11000000
2000000
2000000
65000
3000000
10000
4000000
2000000
33000000
9000000
30000
6000000
2500000
14000000
22000000
4800000
1000000
12000000
10000
3000000
1000000
20000000
11000000
16000000
4000000
3000000
3000000
13000000
5000000
4000000
30000
40000000
16000000
1000000
11000000
4000000
2000000
72500
40000
4000000
6000000
28000000
11000000
2000000
5000000
10000000
6000000
4000000
80000
10000000
20000000
3000000
4000000
10000000
1000000
8000000
17000000
20000000
20000000
10000
7000000
4000000
4000000
1800000
4000000
2000000
16000000
72500
60000000
72500
20000
3000000
5000000
4000000
90000
2000000
2000000
1000000
10000000
7500000
1000000
12000000
2000000
13000000
15000000
1000000
8000000
4000000
10000000
5000000
2000000
64000000
16000000
4000000
32500
68000000
13000000
28000000
65000
6000000
2400000
325
3600000
3500000
90000
4000000
20000000
4000000
1500000
2000000
1000000
8000000
13000000
18000000
4000000
52500
9000000
3000000
14000000
100
14000000
65000
16000000
3000000
6000000
800
16000000
30000
3000000
2000000
3000000
12000000
3000000
14000000
12000000
16000000
8000000
3000000
2000000
1000000
3000000
3000000
9000000
3000000
32500
1000000
10000000
6000000
1000000
6000000
2000000
13000000
1000000
36000000
5000000
29000000
800
32500
8000000
117000000
29000000
4000000
12000000
24000000
4000000
12000000
20000
30000
11000000
10000000
20000
80000
12000000
9000000
7000000
1000000
6000000
6000000
14000000
20000
32000000
2000000
1000000
65000
4000000
4000000
80000
25000000
11000000
3000000
28000000
50
16000000
18000000
8000000
48000000
18000000
1000000
1000000
19000000
5000000
8000000
1000000
11000000
8000000
2000000
20000000
25000000
32000000
1000000
16000000
11000000
80000000
9500000
65000
5000000
20000000
12000000
2000000
2000000
8000000
30000
7000000
4000000
3000000
2000000
6000000
52000000
1000000
24000000
25000000
2000000
1000000
27000000
32000000
2000000
40000
2000000
12000000
14000000
4000000
20000000
1000000
2000000
2000000
2000000
20000000
30000
14000000
32000000
13000000
45000
14000000
3000000
47500
1000000
10000000
1000000
8000000
45000
18000000
20000
2000000
9000000
4000000
80000
45000000
14000000
1000000
9000000
6000000
4000000
16000000
4000000
22000000
9000000
21000000
9000000
800
9000000
20000000
32500
1000000
3000000
2500000
2000000
7000000
2000000
45000000
3500000
2000000
6000000
5000000
2000000
80000
3000000
2000000
47500
22000000
1000000
95000
2500000
16000000
40000
45000000
32000000
17000000
17000000
20000000
2000000
10000000
1000000
3500000
17500000
2000000
3500000
40000
4000000
22000000
6000000
4000000
2000000
3000000
6000000
27000000
14000000
25000
2000000
32000000
12000000
4000000
4000000
24000000
60000000
8000000
32500
12000000
45000
32500
80000
1000000
3000000
2000000
2000000
24000000
4000000
2000000
6000000
180000000
60000
2500000
80000000
2000000
1000000
2000000
9000000
2000000
1000000
4000000
28000000
30000
1000000
1500000
5500000
15000
47500
11000000
800
30000
8000000
400
80000000
10000000
16000000
3000000
6000000
90000
1000000
72500
3000000
3200000
4000000
11000000
1200000
8000000
50000000
14000000
1000000
5000000
48000000
12000000
37000000
25000000
80000
9000000
95000
12000000
13000000
2000000
6500000
5000000
4000000
9000000
2000000
2000000
2000000
24000000
11000000
90000
400
11000000
1000000
60000000
3000000
19000000
1000000
8000000
24000000
2000000
32000000
29000000
6000000
35000
2000000
80000
4000000
900
4000000
5000000
3000000
6000000
7000000
50000000
1000000
10000000
20000000
9000000
17000000
1000000
4000000
3000000
3000000
22000000
1000000
1000000
17000000
9000000
16000000
9000000
30000000
2000000
32000000
12000000
22000000
22000000
24000000
4000000
24000000
300
600
3000000
800000
15000000
2000000
10000000
6000000
3000000
1000000
65000
25000
2000000
800
2700000
1000000
1000000
1000000
12000000
5200000
8000000
9000000
2000000
5000000
10000000
5000000
72500
2000000
19000000
8000000
1000000
6000000
1000000
9000000
20000
2000000
4500000
2800000
20000000
8000000
8000000
4000000
20000000
28000000
2000000
1000000
5000000
6000000
5000000
1200000
80000
22000000
60000000
4000000
2000000
40000000
22000000
2000000
90000
7000000
2000000
15000
1400000
8000000
6000000
3000000
49000000
62500
56000000
1000000
20000000
1000000
7500
32500
2000000
2000000
6000000
2000000
80000
32000000
5000000
1000000
95000
4000000
1000000
3000000
16000000
6000000
4000000
24000000
2000000
16000000
14000000
20000000
32500
1000000
1500000
22000000
4000000
16000000
9000000
56000000
2000000
80000000
6000000
80000
1000000
